@relation ahumada_wav_entrenamiento-weka.filters.unsupervised.attribute.NumericToNominal-R3

@attribute F1 numeric
@attribute F2 numeric
@attribute etiqueta {0,1}

@data
-153.89,-150.65,0
-227.67,-227.35,0
18.302,-24.024,1
-206.96,-205.56,0
-140.5,-139.39,1
-266.25,-266.2,0
33.345,-3.2584,1
-238.59,-234.51,0
-96.415,-96.334,1
-251.21,-252.07,0
-7.5462,-66.424,1
-237.87,-239.04,0
-125.45,-125.48,1
-265.46,-265.4,0
-110.92,-109.82,1
-261.95,-263.16,0
-8.0157,-57.614,1
-277.57,-272.01,0
1.7659,-52.465,1
-91.062,-89.031,0
60.27,27.293,1
-127.31,-124.7,1
-199.52,-196.7,0
-204.24,-203.68,0
-200,-199.47,1
-215.18,-215.09,0
-199.36,-198.69,1
-267.78,-267.69,0
-221.45,-221.92,1
-232.63,-233.08,0
-4.3677,-59.745,1
-301,-297.9,0
-9.3773,-81.658,1
-273.24,-278.39,0
11.518,-32.124,1
-106.84,-105.73,1
-229.46,-229.13,0
18.149,-19.884,1
-292.33,-288.36,0
19.172,-29.649,1
-229.8,-227.21,0
-146.22,-145.54,1
-240.04,-239.85,0
-7.4227,-47.432,1
-253.64,-250.58,0
-6.7265,-89.896,1
-257.62,-257.2,0
2.763,-31.949,1
-257.67,-254.88,0
-100.96,-100.76,1
-204.46,-203.62,0
-244.35,-243.6,0
28.603,0.59714,1
-293.05,-293.21,0
-88.278,-87.937,1
-250.99,-255.81,0
9.283,-20.242,1
-254.62,-255.44,0
-0.92476,-51.412,1
-224.09,-219.92,0
139.17,133.2,1
-160.02,-157.99,0
56.733,18.293,1
-218.07,-216.54,0
-0.99486,-44.349,1
-263.75,-267.06,0
16.272,-51.667,1
-260.62,-252.67,0
-92.965,-92.786,1
-246.27,-251.61,0
44.912,0.22927,1
-153.42,-152.71,1
-226.61,-229.51,0
-211.8,-213.65,0
-15.117,-94.752,1
-254.34,-249.42,0
-59.576,-59.535,1
-328.31,-322.06,0
2.7033,-27.339,1
-232.93,-234.37,0
-7.8369,-56.522,1
-265.56,-261.14,0
-229.13,-227.19,1
-273.3,-269.52,0
-6.9642,-57.418,1
-143.57,-144.12,1
-232.04,-231.23,0
-13.329,-80.123,1
-234.5,-233.9,0
24.903,-36.418,1
-249.6,-252.27,0
-115.08,-115.19,1
-203.99,-202.05,0
54.545,26.012,1
-277.32,-282.59,0
48.349,20.117,1
-262.03,-260.97,0
-8.0948,-48.058,1
-258.49,-262.18,0
46.475,8.8317,1
-270.16,-276.14,0
-289.3,-286.88,0
59.418,42.732,1
-277.48,-280.34,0
-13.5,-92.972,1
-255.83,-254.26,0
25.889,-10.223,1
-221.71,-225.67,0
-112.61,-112.91,1
-316.3,-323.23,0
52.315,27.974,1
-234.05,-233.35,0
-229.03,-227.9,1
-195.86,-199.38,0
-92.819,-92.122,1
-251.36,-254.53,0
-145.62,-144.56,1
-194.18,-195.23,0
114.31,96.434,1
-318.29,-318.94,0
-8.5645,-66.817,1
-156.63,-156.94,1
-251.33,-253.87,0
-226.24,-226.44,0
-134.2,-134.31,1
-318.73,-318.25,0
-98.258,-96.417,1
-324.76,-332.07,0
-193.59,-193.82,1
-238.24,-243.4,0
-239.59,-244.75,1
-279.75,-284.23,0
-105.29,-103.86,1
-308.99,-312.99,0
27.444,-26.346,1
-138.7,-137.7,1
-313.27,-314.76,0
69.793,52.848,1
-264.16,-268.48,0
0.54484,-35.754,1
-235.71,-237.38,0
-13.312,-99.216,1
-313.94,-316.61,0
1.2368,-43.052,1
-323.28,-314.87,0
-97.48,-95.685,1
-254.25,-256.05,0
9.5287,-24.711,1
-243.67,-248.54,0
-223.36,-226.78,1
-322.3,-327.79,0
-297.01,-305.81,0
-129.37,-129.57,1
-330.32,-333.49,0
68.453,46.092,1
-242.81,-242.61,0
34.386,6.4924,1
-254.86,-255.82,0
41.188,-10.83,1
-319.32,-323.12,0
-9.9213,-69.621,1
-256.39,-254.77,0
35.076,-9.5976,1
-237.44,-241.2,0
48.385,17.126,1
-268.06,-274.26,0
25.623,-17.055,1
-245.58,-247.56,0
-211.24,-211.49,1
-328.66,-336.29,0
19.86,-44.693,1
29.202,-2.2536,1
-288.79,-289.06,0
-317.03,-317.79,0
-106.71,-106.46,1
-342.55,-337.04,0
24.857,-21.426,1
-326.52,-333.05,0
31.418,-13.934,1
-289.6,-287.68,0
-102.41,-102.2,1
-316.67,-318.05,0
149.23,140.67,1
-239.86,-240.54,0
104.98,82.644,1
-6.5621,-68.808,1
-282.88,-285.11,0
30.029,-5.612,1
-265.09,-267.76,0
-109.35,-107.97,1
-259.87,-259.65,0
-130.48,-129.52,1
-264.81,-263.3,0
19.913,-27.818,1
-283.92,-281.83,0
56.1,16.391,1
-282.73,-287.67,0
-87.712,-85.174,1
-226.71,-229.89,0
23.233,-18.297,1
