@relation ahumada_wav_instFreq_entrenamiento-weka.filters.unsupervised.attribute.NumericToNominal-R2

@attribute coef numeric
@attribute etiqueta {0,1}

@data
1.2108,0
1.2108,0
12.235,1
1.8047,0
1.7581,1
0.93198,0
34.691,1
0.97666,0
2.7353,1
0.68537,0
3.4615,1
0.70538,0
2.4687,1
0.62953,0
1.7995,1
0.63585,0
6.5437,1
0.71549,0
6.3095,1
3.6123,0
2.7047,1
1.162,1
7.1286,0
1.5784,0
1.4168,1
1.5332,0
1.5072,1
0.77572,0
0.89034,1
0.79835,0
2.9845,1
0.86745,0
3.499,1
0.6573,0
7.6559,1
6.7625,1
1.6158,0
16.466,1
1.099,0
20.9,1
1.092,0
1.2363,1
0.99906,0
10.106,1
0.73453,0
4.1412,1
1.0012,0
16.044,1
0.78659,0
3.0874,1
0.87175,0
0.76702,0
41.374,1
0.78239,0
4.1348,1
0.7598,0
9.1345,1
0.88441,0
5.3997,1
0.69271,0
22.642,1
1.2858,0
11.843,1
0.65846,0
4.6717,1
0.72026,0
6.6699,1
0.64061,0
2.8141,1
0.66569,0
18.689,1
0.79849,1
0.67567,0
0.83333,0
3.1303,1
0.7364,0
5.3207,1
0.68368,0
19.652,1
0.96826,0
6.3263,1
0.69583,0
0.71611,1
0.7488,0
3.2568,1
1.492,1
0.67706,0
3.9863,1
1.214,0
6.3071,1
0.86529,0
1.5433,1
1.9531,0
23.374,1
0.73199,0
29.332,1
0.95578,0
13.113,1
0.84137,0
24.418,1
0.6184,0
0.65171,0
4.8545,1
0.88124,0
4.9561,1
0.63665,0
23.216,1
1.4411,0
1.7478,1
0.66007,0
29.916,1
0.95815,0
0.94723,1
1.8007,0
1.7053,1
0.6706,0
1.8475,1
0.79176,0
47.678,1
0.8013,0
9.0583,1
0.60642,1
1.1767,0
0.68255,0
2.5669,1
0.68795,0
4.2264,1
0.77863,0
2.1969,1
0.57515,0
0.71187,1
0.9963,0
2.8933,1
0.8292,0
26.818,1
1.4992,1
0.97892,0
34.966,1
0.60215,0
9.1922,1
0.54685,0
2.0883,1
0.7255,0
10.874,1
0.67098,0
4.9376,1
0.67876,0
11.398,1
0.63579,0
0.62411,1
0.44028,0
0.55857,0
0.99771,1
0.59659,0
56.097,1
0.62884,0
27.7,1
0.67877,0
12.167,1
0.55983,0
10.119,1
0.71029,0
23.057,1
0.99266,0
9.1855,1
0.75911,0
33.105,1
0.65201,0
0.77789,1
0.7125,0
8.4947,1
31.514,1
0.71071,0
0.69717,0
4.0316,1
0.64845,0
21.795,1
0.63667,0
10.282,1
0.65273,0
4.7458,1
0.7074,0
73.342,1
0.92943,0
50.754,1
9.3798,1
0.82042,0
21.57,1
0.78192,0
3.9529,1
0.65444,0
0.75291,1
0.83244,0
14.995,1
0.8301,0
37.566,1
0.54576,0
3.9917,1
0.4952,0
15.825,1
