@relation carioca_wav_entrenamiento-weka.filters.unsupervised.attribute.NumericToNominal-R3

@attribute F1 numeric
@attribute F2 numeric
@attribute etiqueta {0,1}

@data
137.42,117.9,0
158.31,138.29,0
135.35,110.25,1
139.06,116.1,0
124.47,96.888,1
144.95,120.02,0
134.97,104.62,1
128.48,106.23,0
132.41,107.47,1
119.92,89.799,0
118.44,92.614,1
149.04,130.37,0
132.82,109.64,1
109.32,68.038,0
119.88,86.598,1
140.07,110,0
140.79,114.76,1
138.99,119.41,0
138.98,115.54,1
112.38,74.78,0
100.57,61.293,1
119.67,92.966,1
120.7,89.01,0
137.84,114.88,0
141.06,117.26,1
139.12,109.83,0
138.76,114.99,1
138.3,117.05,0
151.6,131.38,1
140.95,119.1,0
139.91,117.5,1
137.1,119.55,0
139.47,122.93,1
129.91,109.62,0
144.9,127.08,1
116.45,80.736,1
119.8,91.443,0
106.13,69.165,1
146.71,124.54,0
162.66,148.4,1
72.418,26.596,0
79.003,34.4,1
147.14,120.47,0
163.85,143.03,1
155.62,134.14,0
116.86,89.329,1
133.64,110.67,0
134.74,115.38,1
171.63,157.1,0
180.84,164.02,1
166.94,141.84,0
135.52,110.94,0
137.32,112.46,1
146.53,118.49,0
147.5,128.51,1
134.86,114.25,0
112.17,80.267,1
138.8,115.88,0
138.53,116.37,1
166.22,146.7,0
161.04,133.64,1
152.41,129.92,0
123.45,81.58,1
166.5,148.66,0
161.7,145.78,1
126.41,98.397,0
152.89,126.68,1
153.59,134.95,0
169.87,148.57,1
150.47,131.45,0
162.06,147.31,1
152.32,123.93,1
96.817,63.186,0
131.73,113.84,0
128,106.2,1
139.95,113.71,0
133.17,108.19,1
165.99,155.01,0
126.7,108.43,1
164.31,150.56,0
177.03,166.47,1
101.43,65.7,0
96.728,60.124,1
109.94,85.523,0
100.35,72.458,1
135.55,114.98,1
104.52,65.87,0
105.69,65.228,1
125.96,97.176,0
146.61,131.63,1
132.37,107.09,0
131.91,103.52,1
118.22,87.979,0
157.21,137.67,1
136.34,110.58,0
123.77,95.351,1
138.58,119.26,0
109.46,84.521,1
111.66,71.192,0
111.05,67.771,1
137.8,114.61,0
132.22,104.7,0
114.9,76.918,1
102.33,68.529,0
150.22,130.19,1
112.31,74.276,0
126.65,94.069,1
134.8,110.14,0
145.99,122.98,1
145.58,131.54,0
115.78,86.645,1
174.63,159.29,0
157.35,144.05,1
152.67,124.74,0
147.61,126.79,1
123.11,88.213,0
135.57,106.63,1
154.35,131.62,0
168.51,151.01,1
193.81,174.39,0
186.52,171.72,1
147.66,127.08,1
144.92,128.05,0
141.76,121.81,0
163.98,149.17,1
155.17,139.93,0
139.04,113.27,1
153.18,130.87,0
134.38,109.61,1
149.45,131.16,0
140.58,113.39,1
143.32,117.02,0
139.48,109.28,1
120.75,87.876,0
115.68,90.461,1
145.8,120.75,1
166,145.4,0
153.74,135.63,1
177.03,161.54,0
178.93,164.86,1
109.35,70.753,0
101.86,61.896,1
120.29,94.494,0
156.26,135.42,1
163.19,145.8,0
157.2,136.92,1
174.09,157.92,0
148.6,126.72,1
112.41,71.503,0
135.98,110.18,1
160,141.99,0
128.54,98.03,0
127.79,94.391,1
153.92,132.55,0
128.3,92.342,1
132.08,111.81,0
135.32,107.04,1
116.48,71.938,0
150.68,132.08,1
133.72,108.99,0
141.03,114.13,1
136.41,117.75,0
127.77,98.976,1
130.91,104.67,0
131.81,105.58,1
133.96,113.22,0
150.76,127.99,1
132.35,109.79,0
133.04,106.76,1
132.23,106.47,0
173.65,157.78,1
151.81,131.44,1
147.03,125.95,0
127.86,98.393,0
128.78,102.36,1
127.69,106.26,0
157.7,134.86,1
160.5,144.63,0
145.13,125.94,1
146.94,133.33,0
152.43,136.71,1
124.21,100.58,0
116.57,81.102,1
135.6,113.39,0
135.3,114.99,1
145.68,123.79,1
122.58,103.83,0
130.68,109.33,1
164.99,145.39,0
159.29,136.79,1
179.24,166.77,0
176.29,162.92,1
136.67,111.72,0
132.02,107.49,1
135.11,108.94,0
134.16,108.27,1
157.68,134.83,0
166.59,149.78,1
148.67,126.93,0
140.52,112.82,1
